"Lemonade (feat. Gunna, Don Toliver & NAV)",Internet Money,8615865
WAP (feat. Megan Thee Stallion),Cardi B,8303314
Mood (feat. iann dior),24kGoldn,8274982
For The Night (feat. Lil Baby & DaBaby),Pop Smoke,7634118
Laugh Now Cry Later (feat. Lil Durk),Drake,7220677
Dreams - 2004 Remaster,Fleetwood Mac,6296848
What You Know Bout Love,Pop Smoke,6250888
Mr. Right Now (feat. Drake),21 Savage,5536235
Holy (feat. Chance The Rapper),Justin Bieber,4937505
ROCKSTAR (feat. Roddy Ricch),DaBaby,4813781
Runnin,21 Savage,4780510
Come & Go (with Marshmello),Juice WRLD,4666965
Wishing Well,Juice WRLD,4655532
Blinding Lights,The Weeknd,4547238
Dynamite,BTS,4371612
Heather,Conan Gray,4338456
POPSTAR (feat. Drake),DJ Khaled,4241505
Wonder,Shawn Mendes,4157879
"WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix",Jack Harlow,4065931
Put Your Records On,Ritt Momney,3992569
my ex's best friend (with blackbear),Machine Gun Kelly,3952739
Watermelon Sugar,Harry Styles,3935561
you broke me first,Tate McRae,3765848
Blueberry Faygo,Lil Mosey,3712950
Mood Swings (feat. Lil Tjay),Pop Smoke,3488544
Martin & Gina,Polo G,3437174
24 (feat. Lil Baby),Money Man,3375868
Sofia,Clairo,3310357
FRANCHISE (feat. Young Thug & M.I.A.),Travis Scott,3108198
Lucid Dreams,Juice WRLD,3023733
All Girls Are The Same,Juice WRLD,3012719
DOLLAZ ON MY HEAD (feat. Young Thug),Gunna,3006240
Go Crazy,Chris Brown,2992031
Be Like That - feat. Swae Lee & Khalid,Kane Brown,2980628
Wolves (feat. Post Malone),Big Sean,2945687
Glock In My Lap,21 Savage,2945273
Robbery,Juice WRLD,2944325
Circles,Post Malone,2934372
Savage Love (Laxed - Siren Beat),Jawsh 685,2930691
Smile (with The Weeknd),Juice WRLD,2910350
The Box,Roddy Ricch,2847179
The Woo (feat. 50 Cent & Roddy Ricch),Pop Smoke,2815786
Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,2807752
Roses - Imanbek Remix,SAINt JHN,2782264
death bed (coffee for your head),Powfu,2630193
Someone You Loved,Lewis Capaldi,2606521
Before You Go,Lewis Capaldi,2587846
Daisy,Ashnikko,2582405
7 Summers,Morgan Wallen,2573861
Sleepy Hollow,Trippie Redd,2530243
Got It On Me,Pop Smoke,2464172
Rags2Riches 2 (feat. Lil Baby),Rod Wave,2458453
We Paid (feat. 42 Dugg),Lil Baby,2456658
Hawái,Maluma,2436406
After Party,Don Toliver,2421119
Electric Love,BØRNS,2420601
forget me too (feat. Halsey),Machine Gun Kelly,2420542
Midnight Sky,Miley Cyrus,2415930
Whiskey Glasses,Morgan Wallen,2364312
Party Girl,StaySolidRocky,2362553
Hate The Other Side (with Marshmello & The Kid Laroi),Juice WRLD,2352554
GREECE (feat. Drake),DJ Khaled,2334156
Blastoff (feat. Juice Wrld & Trippie Redd),Internet Money,2310064
Rich Nigga Shit (feat. Young Thug),21 Savage,2305525
goosebumps,Travis Scott,2278976
Adore You,Harry Styles,2272229
Head & Heart (feat. MNEK),Joel Corry,2255157
Conversations,Juice WRLD,2254444
Righteous,Juice WRLD,2213783
Life Is Good (feat. Drake),Future,2213301
Are You Bored Yet? (feat. Clairo),Wallows,2197489
Ice Cream (with Selena Gomez),BLACKPINK,2186809
More Than My Hometown,Morgan Wallen,2173995
SLOW DANCING IN THE DARK,Joji,2143264
21,Polo G,2129635
hot girl bummer,blackbear,2128037
Intentions (feat. Quavo),Justin Bieber,2106761
Sweater Weather,The Neighbourhood,2101698
One Of Them Girls,Lee Brice,2091437
GO (feat. Juice WRLD),The Kid LAROI,2085224
HIGHEST IN THE ROOM,Travis Scott,2076683
Many Men,21 Savage,2067769
Levitating (feat. DaBaby),Dua Lipa,2060168
Bandit (with YoungBoy Never Broke Again),Juice WRLD,2055786
Sunday Best,Surfaces,2053218
UN DIA (ONE DAY) (Feat. Tainy),J Balvin,2036437
Bet You Wanna (feat. Cardi B),BLACKPINK,2032446
If the World Was Ending - feat. Julia Michaels,JP Saxe,2026479
Chasin' You,Morgan Wallen,2010751
WHATS POPPIN,Jack Harlow,1994829
Breaking Me,Topic,1988052
Jocelyn Flores,XXXTENTACION,1987517
SICKO MODE,Travis Scott,1979228
E-GIRLS ARE RUINING MY LIFE!,CORPSE,1977488
Dior,Pop Smoke,1967959
Ballin' (with Roddy Ricch),Mustard,1957235
ROXANNE,Arizona Zervas,1956314
Rain On Me (with Ariana Grande),Lady Gaga,1934642
"Baby, I'm Jealous (feat. Doja Cat)",Bebe Rexha,1926265
Falling,Trevor Daniel,1916436
Lovesick Girls,BLACKPINK,1912188
Slidin,21 Savage,1911884
Toosie Slide,Drake,1885216
Heart Of Glass (Live from the iHeart Festival),Miley Cyrus,1865520
The Chain - 2004 Remaster,Fleetwood Mac,1864351
Beautiful Crazy,Luke Combs,1854507
Mad at Disney,salem ilese,1844706
THE SCOTTS,THE SCOTTS,1843529
You Got It,Vedo,1837040
Still Don't Know My Name,Labrinth,1824513
No Guidance (feat. Drake),Chris Brown,1821723
Girls in the Hood,Megan Thee Stallion,1811912
bloody valentine,Machine Gun Kelly,1791887
Falling,Harry Styles,1790512
Star Shopping,Lil Peep,1786885
High Fashion (feat. Mustard),Roddy Ricch,1784286
Take You Dancing,Jason Derulo,1764130
BOP,DaBaby,1755783
Tongue Tied,Grouplove,1741089
20 Min,Lil Uzi Vert,1739788
Daddy Issues,The Neighbourhood,1736721
Flex (feat. Juice WRLD),Polo G,1724718
SAD!,XXXTENTACION,1718114
No Role Modelz,J. Cole,1702198
Walk Em Down (feat. Roddy Ricch),NLE Choppa,1701556
The Less I Know The Better,Tame Impala,1696649
lovely (with Khalid),Billie Eilish,1694190
Don't Start Now,Dua Lipa,1692119
July,Noah Cyrus,1680655
Heartless (feat. Morgan Wallen),Diplo,1674228
MIDDLE CHILD,J. Cole,1671718
